Zipcode,Property Crime Grade,Total Property Crime,Violent Crime Grade,Total Violent Crime
60002,A+,6.213,B,2.322
60004,A-,8.500,A+,1.474
60005,C+,11.46,B+,2.142
60007,D-,25.62,A,1.659
60008,D-,24.66,A-,1.806
60010,A+,6.158,A+,1.392
60012,A+,6.133,A+,1.276
60013,A+,6.199,A+,1.298
60014,A+,6.611,A,1.524
60015,A+,6.327,A,1.651
60016,C,12.72,A-,1.895
60018,D,21.99,B-,2.539
60020,D+,17.24,B-,2.605
60021,A,7.214,B,2.369
60022,B,10.29,B+,2.173
60025,C-,15.32,A,1.505
60026,D+,18.53,A+,1.054
60029,A-,8.458,A+,1.323
60030,A,6.832,A+,1.334
60031,B-,10.90,A-,1.808
60033,B,9.759,C+,2.873
60034,A-,8.691,A-,1.879
60035,A+,6.565,A-,1.891
60040,D-,27.16,C-,3.329
60041,B-,10.64,A-,1.953
60042,A,7.218,A,1.579
60043,D+,17.06,B,2.282
60044,B+,9.126,F,7.191
60045,A+,5.387,A+,1.374
60046,A+,6.431,A+,1.384
60047,A+,4.944,A+,1.273
60048,B+,9.055,B+,2.122
60050,B+,8.988,F,6.442
60051,C-,15.54,B+,1.991
60053,D,20.14,A+,1.491
60056,C+,12.10,A-,1.785
60060,A+,6.280,A,1.495
60061,C,13.37,A-,1.870
60062,D,19.30,A,1.668
60064,F,44.87,F,8.311
60067,A,7.143,A,1.716
60068,B-,10.59,A,1.651
60069,A+,5.149,A,1.698
60070,D+,17.36,A-,1.879
60071,A+,6.718,A+,1.126
60072,B,9.931,D-,5.585
60073,C-,14.88,A-,1.789
60074,B-,11.34,B,2.283
60075,C-,13.71,B,2.233
60076,D-,26.49,A-,1.870
60077,D,21.26,B-,2.487
60081,A,7.062,A+,1.457
60083,A,7.524,A,1.669
60084,A,7.006,A+,1.301
60085,D-,27.97,D-,6.258
60087,D+,17.23,C-,3.453
60088,F,"2,472",F,193.5
60089,C,12.63,A,1.653
60090,C+,11.43,A-,1.730
60091,B,9.901,B-,2.641
60093,C+,12.43,A,1.705
60096,B+,9.417,B,2.327
60097,C-,13.68,B,2.338
60098,A-,8.674,A,1.678
60099,C,13.21,B-,2.641
60101,D,19.55,B-,2.646
60102,A+,6.285,A+,1.184
60103,A,7.396,A-,1.746
60104,D,21.93,D,4.679
60106,F,74.40,F,36.85
60107,A,6.864,A,1.590
60108,C,12.56,B-,2.546
60109,A+,6.717,A,1.550
60110,D+,17.19,A-,1.734
60111,A+,6.369,A+,1.384
60112,A,7.633,B,2.283
60113,C+,11.77,C+,2.854
60115,D-,29.09,D-,6.196
60118,B,9.926,A-,1.780
60119,A+,5.417,A+,0.8749
60120,D,21.29,C+,2.674
60123,D+,16.03,D+,3.996
60124,A+,6.026,A-,1.760
60126,B,9.869,B,2.368
60129,A,7.200,A,1.711
60130,D+,18.61,D+,4.080
60131,D+,16.77,B,2.243
60133,A,7.288,A,1.722
60134,A,7.080,A-,1.730
60135,A-,8.666,A,1.606
60136,A+,5.737,A+,1.239
60137,A,7.198,A,1.724
60139,A-,8.340,A,1.600
60140,A+,5.470,A+,1.437
60141,C,12.64,C,2.968
60142,A+,4.412,B+,2.069
60143,A+,6.452,A-,1.753
